user_id,status_id,created_at,text,source
1640054678,1.25E+18,2020-04-19T13:12:21Z,"Calling all my cycling friends in the Ashbourne, Meath, North Dublin &amp; Drogheda areas to help with fixing bikes which have been donated to me for asylum seekers. They are in pretty good nick but need minor fix &amp; checks. @masi_asylum @dublincycling @MeathGAA @drogheda_indo",Twitter for Android
24020604,1.25E+18,2020-04-19T12:52:11Z,"An app, like Dublin Bikes, but instead tells you the capacity of the nearest bottle banks. 🍷",Twitter Web App
21842408,1.25E+18,2020-04-18T19:50:54Z,@Dominos_UK My delivery driver was threatened with a knife and my order taken by youths on bikes. I’m not concerned about the order. More concerned that the driver is safe. This happened at 8:35pm in Dublin city center,Twitter for iPhone
9.97E+17,1.25E+18,2020-04-26T01:02:12Z,"@UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling So if I must use the island of Ireland to talk about the geographic entity, then there must also be a logical way to disambiguate that from the country, hence why I would use Republic of Ireland. Ireland to me with no context has multiple intepretations - as does UK",TweetDeck
9.97E+17,1.25E+18,2020-04-26T11:52:43Z,"@OConnorOisin @UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling It adds 3 syllables but yes, it largely says what it is. Easier to use that and then clarify about IOM, Channel Islands etc, rather than British Isles, which yes they aren't. But I'm still worried about our attitude towards those from the other side of the ""English"" Channel.",TweetDeck
9.97E+17,1.25E+18,2020-04-26T01:28:17Z,"@ianmccall49 @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling I think it really depends on context. If we were talking about countries that have use euro, I don't think it needs any more clarification, but differentiation is needed when there is overlap between the two entities, as there is when you are talking about transport.",TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:30:00Z,"@OConnorOisin @IBIKEDublin @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling It does, but what we know from Dutch experience is that all the cycle lanes in the world don't discourage driving if they then free up so much road space, and if the roads are still free at the point of use. Variable road pricing would do that.",TweetDeck
9.97E+17,1.25E+18,2020-04-26T01:33:15Z,"@ianmccall49 @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling *To be clear that when I referred to NI, I didn't mean Nicaragua.

Which is now starting to remind me about a sketch the Two Ronnies did about Peoplechester. It must be out there .....",TweetDeck
9.97E+17,1.25E+18,2020-04-24T21:31:04Z,"@TenMajor10 @IBIKEDublin @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling @carltonreid Correct me if I'm wrong, but UK  road tax was introduced in 1909, prior to the Irish Free State. Yet afaik people in IRE still call it road tax now? It's as if they think they should be paying a tax imposed in London.",TweetDeck
9.97E+17,1.25E+18,2020-04-26T12:06:30Z,"@OConnorOisin @UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling And do I have this right - Ireland, island and isle have no common derivation at all? I'm off to grab some more coffee",TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:31:07Z,@OConnorOisin @IBIKEDublin @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling The other point of note is that road pricing seems to be a political hot potato in NL because they've tried to debate it (UK really hasn't) - and now politicians seem hesitant. But there's still business support because they see benefits from congestion curve being levelled off,TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:36:58Z,"@OConnorOisin @IBIKEDublin @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Sure. In fact I hope someone from Belgium gives me Ghent as somewhere to do in our #LegoLockdownLand - but actually, I don't think Ghent brought anything new to the table in layout terms. They just did what Groningen did in the early 70s.",TweetDeck
9.97E+17,1.25E+18,2020-04-24T21:24:55Z,"@TenMajor10 @IBIKEDublin @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Sure, but I believe it did exist - now I'm going to have to start digging here. The UK road fund came in 1909, replacing locomotive duty of 1888? @carltonreid",TweetDeck
